Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,220.559998,222.029999,217.449997,218.570007,215.033829,2036500
2018-11-23,218.100006,221.179993,217.660004,220.059998,216.499710,1007500
2018-11-26,222.850006,223.479996,218.899994,219.449997,215.899582,2205600
2018-11-27,219.369995,223.119995,218.380005,223.009995,219.401978,2369800
2018-11-28,222.779999,230.460007,222.190002,230.339996,226.613388,2765600
2018-11-29,229.000000,231.589996,228.360001,231.000000,227.262711,1478700
2018-11-30,231.690002,233.389999,229.699997,231.279999,227.538177,2764000
2018-12-03,230.720001,232.199997,228.210007,232.080002,228.325241,2481500
2018-12-04,232.110001,233.300003,225.559998,226.350006,222.687943,3418600
2018-12-06,227.940002,233.860001,226.600006,233.199997,229.427124,4029800
2018-12-07,233.149994,233.809998,223.029999,224.860001,221.222061,2881900
2018-12-10,224.539993,225.199997,219.110001,222.660004,219.057663,2650000
2018-12-11,225.119995,227.250000,224.000000,226.500000,222.835510,2466800
2018-12-12,228.350006,230.449997,227.070007,227.800003,224.114502,2891400
2018-12-13,228.839996,229.619995,225.479996,226.509995,222.845367,2170200
2018-12-14,218.000000,219.000000,205.509995,207.059998,203.710052,8822300
2018-12-17,206.679993,208.000000,200.660004,202.229996,198.958176,4739400
2018-12-18,203.089996,204.669998,201.570007,202.990005,199.705887,3308500
2018-12-19,203.500000,207.000000,199.860001,201.410004,198.151443,3369600
2018-12-20,200.330002,200.699997,193.679993,197.130005,193.940704,4250900
2018-12-21,197.160004,200.699997,194.320007,194.520004,191.372925,5080200
2018-12-24,193.899994,195.330002,189.800003,189.990005,186.916199,2031700
2018-12-26,190.820007,198.779999,189.509995,198.630005,195.416428,3268800
2018-12-27,196.960007,201.130005,193.960007,201.080002,197.826797,2705900
2018-12-28,201.820007,204.949997,199.589996,202.039993,198.771240,2037800
2018-12-31,203.380005,204.389999,201.380005,203.710007,200.414246,1729400
2019-01-02,200.500000,205.100006,199.850006,204.759995,201.447266,2143100
2019-01-03,203.699997,205.940002,200.039993,200.419998,197.177475,2877700
2019-01-04,203.080002,207.929993,201.449997,206.240005,202.903336,2761600
2019-01-07,205.520004,209.119995,203.539993,207.000000,203.651001,2226600
2019-01-08,208.649994,209.080002,204.179993,208.550003,205.175949,2366500
2019-01-09,209.149994,211.220001,207.919998,209.899994,206.504089,1862900
2019-01-10,208.149994,210.899994,206.000000,210.639999,207.232132,2340700
2019-01-11,210.039993,211.250000,209.309998,210.509995,207.104218,1861100
